# 上海中考英文词汇表（上海市初中英语教学基本词汇表）
# 整理日期 2026-08-03 · 单词 + 词组

# 表（一）单词（Words）
序号,单词,词性(英文),词性(中文),释义
658,hat,n,名词,帽子
659,hate,v,动词,憎恨；讨厌
660,head,n,名词,头，头部
661,headache,n,名词,头痛
662,headline,n,名词,报刊的大字标题
663,headmaster,n,名词,校长
664,health,n,名词,健康
665,healthy,adj,形容词,健康的；健壮的
666,"hear (heard, heard)",v,动词,听见；听说；得知
667,heart,n,名词,心；心脏
668,heat,n,名词,热度；热量
669,heavily,adv,副词,沉重地；大量地
670,heavy,adj,形容词,重的
671,height,n,名词,高度
672,hello,int,感叹词,喂；你好
673,help,v,动词,n. 帮助
674,helpful,adj,形容词,有帮助的；有益的
675,here,adv,副词,这里；在这里；向这里
676,hesitate,v,动词,犹豫；踌躇
677,"hide (hid, hidden)",v,动词,把……藏起来；隐藏
678,high,adj,形容词,高的
679,hill,n,名词,小山
680,historical,adj,形容词,历史的；历史上
681,history,n,名词,历史
682,"hit (hit, hit)",v,动词,打击；碰撞
683,hobby,n,名词,兴趣；嗜好
684,hole,n,名词,洞
685,holiday,n,名词,假日；假期
686,home,n,名词,家
687,homeless,adj,形容词,无家可归的
688,homework,n,名词,家庭作业
689,honest,adj,形容词,诚实的；正直的
690,honesty,n,名词,诚实
691,honey,n,名词,蜂蜜
692,hope,v,动词,n. 希望
693,horse,n,名词,马
694,hospital,n,名词,医院
695,host,n,名词,主人
696,hot,adj,形容词,热的
697,hot-dog,n,名词,热狗
698,hotel,n,名词,旅馆
699,hour,n,名词,小时
700,house,n,名词,房屋；住宅；家
701,housework,n,名词,家务活
702,however,adv,副词,conj. 然而，可是
703,huge,adj,形容词,巨大的；庞大的
704,human,adj,形容词,人们；人类的
705,humour,n,名词,幽默；幽默感
706,hungrily,adv,副词,饥饿地；
707,hungry,adj,形容词,饥饿的
708,hunt,v,动词,打猎
709,hurry,v,动词,n. 赶紧；急忙
710,"hurt (hurt, hurt)",v,动词,痛；使受伤痛
711,husband,n,名词,丈夫
712,hut,n,名词,小屋；棚屋
713,ice,n,名词,冰
714,icecream,n,名词,冰淇淋
715,idea,n,名词,主意；意见；打算; 想法
716,if,conj,连词,1.（连接状语从句）如果；假使
717,ill,adj,形容词,有病的；不健康的
718,illness,n,名词,"病, 疾病"
719,immediately,adv,副词,立刻
720,importance,n,名词,重要性
721,important,adj,形容词,重要的
722,impossible,adj,形容词,不可能的
723,improve,v,动词,改善；改进
724,in,prep,介词,1.（位置）在内；在里面；
725,inch,n,名词,英寸
726,include,v,动词,包括；包含
727,increase,v,动词,增加；增长；增进
728,indeed,adv,副词,的确；真正的
729,independent,adj,形容词,独立的；有主见的
730,Indian,n,名词,印度人；印第安人；印第安语
731,individual,adj,形容词,个人的，个体的
732,indoor,adj,形容词,室内的
733,information,n,名词,信息；情报；资料
734,ink,n,名词,墨水
735,inside,prep,介词,在……里面，在……之内
736,instead,adv,副词,代替；顶替
737,interest,n,名词,兴趣；趣味
738,interested,adj,形容词,感兴趣的
739,interesting,adj,形容词,有趣的；有意思的
740,international,adj,形容词,国际的
741,Internet,n,名词,英特网（国际互联网）
742,interview,v,动词,＆n. 面谈，访谈，采访
